GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_4,ru.practicum,Praktikum,12,0,0,0,4,0,2,0,2,0
Sprint_4,ru.practicum,Account,0,16,0,2,0,6,0,3,0,2
